Site Code,Site Name,Latitude,Longitude,Region,Observation Time,Observation Date,Wind Direction,Wind Speed,Wind Gust,Visibility,Screen Temperature,Pressure,Pressure Tendency, Significant Weather
"3017","KIRKWALL (3017)","58.9540","-2.9000","Orkney & Shetland","08:00","2015-01-15","SSW","22","40","19000","5.40","955","F","(Black) Low-level cloud",
"3034","AULTBEA (3034)","57.8590","-5.6360","Highland & Eilean Siar","08:00","2015-01-15","SSW","24","43","7000","5.10","951","F","Heavy rain shower (Night)",
"3044","ALTNAHARRA SAWS (3044)","58.2880","-4.4420","Highland & Eilean Siar","08:00","2015-01-15","S","26","52","40000","3.50","951","F","Clear sky (Night)",
"3065","CAIRNGORM SUMMIT (3065)","57.1200","-3.6400","Grampian","08:00","2015-01-15","S","68","100","","-3.80","","#","N/A",
"3088","INVERBERVIE (3088)","56.8500","-2.2700","Grampian","08:00","2015-01-15","SW","46","63","10000","5.30","963","F","(Black) Low-level cloud",
"3111","MACHRIHANISH (3111)","55.4410","-5.6990","Strathclyde","08:00","2015-01-15","SSW","41","61","18000","5.20","963","F","(Black) Low-level cloud",
"3144","STRATHALLAN (3144)","56.3260","-3.7290","Central Tayside & Fife","08:00","2015-01-15","SSW","23","44","9000","5.20","963","F","Light rain",
"3158","CHARTERHALL (3158)","55.7090","-2.3830","Dumfries, Galloway","08:00","2015-01-15","SSW","33","46","23000","4.90","968","F","(Black) Low-level cloud",
"3904","CASTLEDERG (3904)","54.7070","-7.5770","Northern Ireland","08:00","2015-01-15","WSW","34","57","10000","5.80","964","F","Light rain shower (Night)",
"3916","BALLYPATRICK FOREST (3916)","55.1810","-6.1530","Northern Ireland","08:00","2015-01-15","WSW","33","53","16000","3.70","963","F","(Black) Low-level cloud",
"3302","VALLEY (3302)","53.2520","-4.5370","Wales","08:00","2015-01-15","SW","37","54","30000","7.00","978","R","Clear sky (Night)",
"3405","ABERDARON (3405)","52.7890","-4.7420","Wales","08:00","2015-01-15","SSW","46","60","19000","7.00","980","R","(White) Medium-level cloud",
"3503","TRAWSGOED (3503)","52.3440","-3.9470","Wales","08:00","2015-01-15","S","8","","14000","4.80","983","F","Partly cloudy (Night)",
"3716","ST-ATHAN (3716)","51.4050","-3.4400","Wales","08:00","2015-01-15","WSW","26","43","21000","6.70","986","R","Light rain shower (Night)",
"3214","WALNEY ISLAND (3214)","54.1250","-3.2570","North West England","08:00","2015-01-15","SW","33","48","11000","6.40","976","R","(White) Medium-level cloud",
"3226","WARCOP (3226)","54.5700","-2.4200","North West England","08:00","2015-01-15","SW","32","46","21000","4.40","975","R","(Black) Low-level cloud",
"3230","REDESDALE CAMP (3230)","55.2800","-2.2800","North East England","08:00","2015-01-15","SW","26","41","19000","4.50","972","R","(Black) Low-level cloud",
"3257","LEEMING (3257)","54.2960","-1.5300","Yorkshire & Humber","08:00","2015-01-15","SSW","19","33","20000","5.30","977","R","Partly cloudy (Night)",
"3281","FYLINGDALES (3281)","54.3620","-0.6730","Yorkshire & Humber","08:00","2015-01-15","SSW","24","37","","3.60","","#","N/A",
"99214","HULL EAST (99214)","53.7600","-0.2900","Yorkshire & Humber","08:00","2015-01-15","VRB","-99","","","6.20","","#","N/A",
"3522","HEREFORD (3522)","52.0830","-2.8000","West Midlands","08:00","2015-01-15","SSW","3","","23000","5.20","985","R","Partly cloudy (Night)",
"3354","WATNALL (3354)","53.0050","-1.2500","East Midlands","08:00","2015-01-15","SSW","14","39","40000","4.00","983","R","Clear sky (Night)",
"3385","DONNA NOOK (3385)","53.4730","0.1540","East Midlands","08:00","2015-01-15","SSW","26","37","29000","6.70","982","R","Clear sky (Night)",
"3462","WITTERING (3462)","52.6110","-0.4590","East of England","08:00","2015-01-15","SSW","18","","29000","5.90","985","R","Clear sky (Night)",
"3590","WATTISHAM (3590)","52.1230","0.9610","East of England","08:00","2015-01-15","SW","17","","18000","8.00","987","R","(White) Medium-level cloud",
"3628","FILTON (3628)","51.5210","-2.5760","South West England","08:00","2015-01-15","SSW","15","26","21000","6.20","987","R","Clear sky (Night)",
"3740","LYNEHAM (3740)","51.5031","-1.9924","South West England","08:00","2015-01-15","SW","11","","","5.60","988","R","(White) Medium-level cloud",
"3808","CAMBORNE (3808)","50.2180","-5.3300","South West England","08:00","2015-01-15","WSW","10","32","18000","5.10","990","R","(White) Medium-level cloud",
"3840","DUNKESWELL AERODROME (3840)","50.8600","-3.2390","South West England","08:00","2015-01-15","SSW","9","","18000","4.20","989","R","Clear sky (Night)",
"3649","BRIZE NORTON (3649)","51.7580","-1.5760","London & South East England","08:00","2015-01-15","SSW","10","","15000","6.20","987","R","Clear sky (Night)",
"3749","MIDDLE WALLOP (3749)","51.1500","-1.5700","London & South East England","08:00","2015-01-15","SW","11","","25000","6.30","989","R","Partly cloudy (Night)",
"3781","KENLEY (3781)","51.3030","-0.0900","London & South East England","08:00","2015-01-15","SW","17","33","8000","6.10","990","R","Heavy rain shower (Night)",
"3872","THORNEY ISLAND (3872)","50.8200","-0.9200","London & South East England","08:00","2015-01-15","SW","21","30","10000","8.60","990","R","(Black) Low-level cloud",
"3023","SOUTH UIST RANGE (3023)","57.3580","-7.3970","Highland & Eilean Siar","08:00","2015-01-15","WSW","33","44","17000","6.40","949","R","Clear sky (Night)",
"3037","SKYE/LUSA (SAMOS) (3037)","57.2570","-5.8090","Highland & Eilean Siar","08:00","2015-01-15","SSW","11","34","21000","4.80","952","F","(Black) Low-level cloud",
"3062","TAIN RANGE (3062)","57.8200","-3.9700","Highland & Eilean Siar","08:00","2015-01-15","S","24","47","6000","3.00","955","F","Heavy Rain",
"3066","KINLOSS (3066)","57.6494","-3.5606","Grampian","08:00","2015-01-15","S","25","52","16000","3.80","956","F","Heavy Rain",
"3091","ABERDEEN DYCE (3091)","57.2060","-2.2020","Grampian","08:00","2015-01-15","SSW","31","46","20000","5.10","962","F","(White) Medium-level cloud",
"3134","GLASGOW/BISHOPTON (3134)","55.9070","-4.5330","Strathclyde","08:00","2015-01-15","SSW","33","56","18000","5.80","962","F","Light rain shower (Night)",
"3148","GLEN OGLE (3148)","56.4230","-4.3200","Central Tayside & Fife","08:00","2015-01-15","SSW","54","87","","0.30","","#","N/A",
"3162","ESKDALEMUIR (3162)","55.3110","-3.2060","Dumfries, Galloway","08:00","2015-01-15","SSW","26","43","25000","3.90","970","R","(White) Medium-level cloud",
"3907","MAGILLIGAN (3907)","55.0500","-7.0000","Northern Ireland","08:00","2015-01-15","SW","49","72","3300","3.60","962","F","Heavy Rain",
"3917","ALDERGROVE (3917)","54.6640","-6.2240","Northern Ireland","08:00","2015-01-15","SSW","30","48","17000","4.30","967","F","(Black) Low-level cloud",
