Site Code,Site Name,Latitude,Longitude,Region,Observation Time,Observation Date,Wind Direction,Wind Speed,Wind Gust,Visibility,Screen Temperature,Pressure,Pressure Tendency, Significant Weather
"3023","SOUTH UIST RANGE (3023)","57.3580","-7.3970","Highland & Eilean Siar","13:00","2015-02-04","NW","7","","25000","5.20","1026","R","(White) Medium-level cloud",
"3047","TULLOCH BRIDGE (3047)","56.8670","-4.7080","Highland & Eilean Siar","13:00","2015-02-04","NW","3","","45000","1.10","1027","R","(Black) Low-level cloud",
"3080","ABOYNE (3080)","57.0770","-2.8360","Grampian","13:00","2015-02-04","SW","3","","29000","2.90","1024","R","(Black) Low-level cloud",
"3155","DRUMALBIN (3155)","55.6270","-3.7350","Strathclyde","13:00","2015-02-04","N","5","","28000","-0.70","1025","R","(White) Medium-level cloud",
"3173","EDINBURGH BLACKFORD HILL (3173)","55.9200","-3.1800","Dumfries, Galloway","13:00","2015-02-04","W","10","","","-99.00","","#","N/A",
"3916","BALLYPATRICK FOREST (3916)","55.1810","-6.1530","Northern Ireland","13:00","2015-02-04","NNE","10","","30000","5.00","1027","R","Sunny intervals",
"3313","RHYL (3313)","53.2590","-3.5090","Wales","13:00","2015-02-04","NNW","9","","45000","4.30","1024","R","Sunny (Day)",
"3605","PEMBREY SANDS SAMOS (3605)","51.7130","-4.3680","Wales","13:00","2015-02-04","N","21","29","35000","5.20","1023","R","Sunny (Day)",
"3220","CARLISLE (3220)","54.9330","-2.9630","North West England","13:00","2015-02-04","VRB","-99","","45000","3.60","1024","R","Sunny (Day)",
"3227","GREAT DUN FELL (3227)","54.6800","-2.4500","North West England","13:00","2015-02-04","NNE","21","31","","-4.30","","#","N/A",
"3281","FYLINGDALES (3281)","54.3620","-0.6730","Yorkshire & Humber","13:00","2015-02-04","NNW","18","29","","0.40","","#","N/A",
"3529","PERSHORE (3529)","52.1480","-2.0400","West Midlands","13:00","2015-02-04","NNW","14","","29000","4.20","1023","R","(White) Medium-level cloud",
"3379","CRANWELL (3379)","53.0300","-0.5000","East Midlands","13:00","2015-02-04","NNW","17","","35000","3.60","1020","R","Sunny intervals",
"3488","WEYBOURNE (3488)","52.9490","1.1270","East of England","13:00","2015-02-04","NNW","16","","10000","4.10","1018","R","Sunny intervals",
"3710","LISCOMBE (3710)","51.0870","-3.6080","South West England","13:00","2015-02-04","N","10","","26000","3.90","1022","R","Sunny intervals",
"3808","CAMBORNE (3808)","50.2180","-5.3300","South West England","13:00","2015-02-04","NE","17","","40000","5.00","1023","R","Sunny intervals",
"3857","ISLE OF PORTLAND (3857)","50.5220","-2.4540","South West England","13:00","2015-02-04","NE","13","","17000","4.20","1021","R","Sunny intervals",
"3768","FARNBOROUGH (3768)","51.2790","-0.7720","London & South East England","13:00","2015-02-04","N","10","","24000","3.60","1020","R","(White) Medium-level cloud",
"3866","ST CATHERINES PT. (3866)","50.5770","-1.2970","London & South East England","13:00","2015-02-04","NE","6","17","","4.60","1020","R","N/A",
"3005","LERWICK (S. SCREEN) (3005)","60.1390","-1.1830","Orkney & Shetland","13:00","2015-02-04","W","8","","10000","2.40","1020","F","Light rain",
"3039","BEALACH NA BA (3039)","57.4200","-5.6900","Highland & Eilean Siar","13:00","2015-02-04","NW","10","","","-1.40","","#","N/A",
"3063","AVIEMORE (3063)","57.2060","-3.8270","Highland & Eilean Siar","13:00","2015-02-04","WSW","3","","21000","2.90","1025","R","(White) Medium-level cloud",
"3111","MACHRIHANISH (3111)","55.4410","-5.6990","Strathclyde","13:00","2015-02-04","NW","8","","25000","5.00","1026","R","(White) Medium-level cloud",
"3132","WEST FREUGH (ESAWS) (3132)","54.8590","-4.9360","Dumfries, Galloway","13:00","2015-02-04","NNW","13","","30000","5.20","1025","R","Sunny (Day)",
"3907","MAGILLIGAN (3907)","55.0500","-7.0000","Northern Ireland","13:00","2015-02-04","NNW","9","","40000","6.60","1027","R","(White) Medium-level cloud",
"99018","ORLOCK HEAD (99018)","54.6700","-5.5800","Northern Ireland","13:00","2015-02-04","NNE","18","","","-99.00","","#","N/A",
"3503","TRAWSGOED (3503)","52.3440","-3.9470","Wales","13:00","2015-02-04","NNW","9","","20000","4.90","1024","R","Sunny (Day)",
"3204","RONALDSWAY (3204)","54.0849","-4.6321","North West England","13:00","2015-02-04","N","10","","50000","6.00","1025","R","Sunny intervals",
"3225","SHAP (3225)","54.5010","-2.6840","North West England","13:00","2015-02-04","NNW","10","","35000","1.70","1024","R","Sunny (Day)",
"3257","LEEMING (3257)","54.2960","-1.5300","Yorkshire & Humber","13:00","2015-02-04","NNW","16","","40000","4.00","1022","R","Sunny intervals",
"3330","LEEK (3330)","53.1330","-1.9830","West Midlands","13:00","2015-02-04","NW","5","","35000","0.60","1023","R","(White) Medium-level cloud",
"3544","CHURCH LAWFORD (3544)","52.3580","-1.3300","West Midlands","13:00","2015-02-04","NNW","11","","28000","3.10","1021","R","(White) Medium-level cloud",
"3392","WAINFLEET (3392)","53.0880","0.2740","East Midlands","13:00","2015-02-04","NNW","21","","4700","2.20","1019","R","(White) Medium-level cloud",
"3696","WALTON-ON-THE-NAZE (3696)","51.8500","1.2800","East of England","13:00","2015-02-04","WNW","14","","","-99.00","","#","N/A",
"3746","BOSCOMBE DOWN (3746)","51.1610","-1.7540","South West England","13:00","2015-02-04","WSW","86","","4600","-99.00","","#","Sunny intervals",
"3827","MOUNT BATTEN (3827)","50.3540","-4.1210","South West England","13:00","2015-02-04","N","14","","30000","5.30","1022","R","Sunny intervals",
"3660","HIGH WYCOMBE (3660)","51.6800","-0.8020","London & South East England","13:00","2015-02-04","N","9","","30000","2.10","1021","R","(White) Medium-level cloud",
"3784","GRAVESEND-BROADNESS (3784)","51.4640","0.3140","London & South East England","13:00","2015-02-04","NNW","15","","","3.70","1019","R","N/A",
"3876","SHOREHAM (3876)","50.8360","-0.2920","London & South East England","13:00","2015-02-04","N","15","","","5.00","1019","R","N/A",
"3017","KIRKWALL (3017)","58.9540","-2.9000","Orkney & Shetland","13:00","2015-02-04","NW","6","","40000","4.10","1022","F","(Black) Low-level cloud",
"3044","ALTNAHARRA SAWS (3044)","58.2880","-4.4420","Highland & Eilean Siar","13:00","2015-02-04","WSW","6","","30000","3.50","1024","F","Light rain",
"3068","LOSSIEMOUTH (3068)","57.7120","-3.3220","Grampian","13:00","2015-02-04","WSW","11","","45000","4.00","1024","R","(White) Medium-level cloud",
"3136","PRESTWICK RNAS (3136)","55.5150","-4.5850","Strathclyde","13:00","2015-02-04","S","1","","25000","2.80","1026","R","(Black) Low-level cloud",
"3166","EDINBURGH/GOGARBANK (3166)","55.9280","-3.3430","Dumfries, Galloway","13:00","2015-02-04","SW","7","","30000","2.80","1025","R","(White) Medium-level cloud",
"3911","LOUGH FEA (3911)","54.7200","-6.8200","Northern Ireland","13:00","2015-02-04","NW","7","","35000","3.50","1027","R","Sunny (Day)",
"3302","VALLEY (3302)","53.2520","-4.5370","Wales","13:00","2015-02-04","NNW","14","","40000","5.50","1025","R","Sunny intervals",
"3507","SENNYBRIDGE (3507)","52.0630","-3.6140","Wales","13:00","2015-02-04","N","7","","45000","2.60","1024","R","Sunny intervals",
"3210","ST. BEES HEAD (3210)","54.5180","-3.6150","North West England","13:00","2015-02-04","N","10","","21000","2.30","1024","R","Sunny (Day)",
"3226","WARCOP (3226)","54.5700","-2.4200","North West England","13:00","2015-02-04","N","10","","30000","0.70","1023","R","(White) Medium-level cloud",
"3266","LINTON ON OUSE (3266)","54.0450","-1.2500","Yorkshire & Humber","13:00","2015-02-04","NNW","18","","30000","4.30","1022","R","Sunny intervals",
"3522","HEREFORD (3522)","52.0830","-2.8000","West Midlands","13:00","2015-02-04","NNW","10","","30000","4.20","1023","R","Sunny intervals",
"3377","WADDINGTON (3377)","53.1750","-0.5210","East Midlands","13:00","2015-02-04","NNW","16","","20000","3.20","1021","R","Light rain shower (Day)",
"3482","MARHAM (3482)","52.6510","0.5690","East of England","13:00","2015-02-04","NW","15","","7000","3.20","1019","R","(White) Medium-level cloud",
"3628","FILTON (3628)","51.5210","-2.5760","South West England","13:00","2015-02-04","N","11","","35000","4.80","1022","R","Sunny intervals",
"3803","SCILLY ST MARYS (3803)","49.9130","-6.3010","South West England","13:00","2015-02-04","NNE","18","","45000","6.40","1023","R","Sunny intervals",
"3853","YEOVILTON (3853)","51.0060","-2.6400","South West England","13:00","2015-02-04","N","11","","20000","4.70","1022","R","Sunny (Day)",
"3749","MIDDLE WALLOP (3749)","51.1500","-1.5700","London & South East England","13:00","2015-02-04","N","14","","30000","3.80","1021","R","Sunny (Day)",
"3797","MANSTON (3797)","51.3422","1.3461","London & South East England","13:00","2015-02-04","NNW","15","","14000","3.80","1018","R","Sunny intervals",
"3882","HERSTMONCEUX WEST END (3882)","50.8900","0.3190","London & South East England","13:00","2015-02-04","N","10","","18000","4.70","1019","R","Sunny intervals",
